jp_asin_0	対応機種： Apple iPhone 7 / 8。 パッケージ内容：ケースカバー x 1、ストラップロープ x 1。  当社について： Black Lemonはお客様の楽しいショッピング体験のために、常におしゃれで優れた製品をお客様にお届けできるよう取り組んできました。 -
jp_asin_1	iPhone Xのために新しく生まれ変わった”Air Jacket”2007年に誕生した初代iPhoneから、その美しいデザイン、スタイリッシュなフォルムを究極の薄さとフィット感で守り続けて来たパワーサポートの\"Air Jacket?エアージャケット\"。記念すべき10周年モデル「iPhone X」の誕生にあわせ、設計・構造をゼロから見直し、まったく新しい“エアージャケット”を開発しました。新設計・新構造採用！“Air Jacket for iPhone X”は、そのミニマルなデザインはそのままに、iPhone X本体の背面とエアージャケットとの間にごくわずかな空間を設けました。その幅はiPhone本体の個体差を計算しはじき出された0.xxxミリという超微細なもの。この空間が、iPhone本体をエアージャケットの中でいわば浮いた状態におくこととなり、落下等からの衝撃軽減に効果を発揮します。（フロート・エフェクト）同時に、一般的にiPhone本体のガラス面との密着によりケース背面に発生することのある虹のような模様「にじみ（干渉縞）」に対しても、このコンマ数ミリの空間がその低減を実現しています。（アンチ・ウォーターマーク・エフェクト）精密な設計と精巧な加工で限界まで薄く、シンプルに側面のボタンやスピーカー部分の切り抜きも本体形状にあわせて精巧に加工されています。限界まで薄く仕上げられていながら、背面はもちろん、側面も極限まで覆うことで、保護性が高くキズが付きにくい仕様です。「セルフリペアコート」により、小さなキズなら自動復元＜クリア＞のエアージャケットには特殊なセルフリペアコートを施してあります。表面に細かなキズが付きにくく、軽度のキズなら復元作用が働きます。ワイヤレス充電対応にじみ（干渉縞）についてジェットブラックやガラス背面のiPhoneにおいて、ケースの装着面に虹のようなにじみ（干渉縞）が見られる現象。iPhone本体の個体差とエアージャケットの個体差により両者が完全に密着してしまう部分に見られる場合があります。
jp_asin_2	SAMSUNG Galaxy ( サムスン ギャラクシー ) NOTE 8 専用 デザインケース 【製品保証】万が一,お届けした商品に破損や汚れなどがある場合,大変お手数をお掛けまして申し訳ございませんが,レビュー投稿の前に一度,【出品者に連絡】をクリックして,当店までご連絡いただきますようとお願いします。早急に,商品の返品やご交換等の対応をさせていただきます。 ケース四隅,内側の加工で衝撃に強く,耐久性に優れた,傷がつきにくい素材を採用しておりますから,大切なiPhoneを落とすことはもはや,心配しなくとも大丈夫です。 ディスプレイ,モニターの仕様によって実際の色とやや異なって見える場合があります。 長時間紫外線を当ても黄ばんできず,ケースの色が変わりにくいです。内側により,装着と取り外すことが簡単できます。
jp_asin_3	【しっかりサポート】安心してご利用いただくために、万が一品質に問題が発生した場合、弊社にご連絡いただければ迅速に対応いたします。 【全面保護カバー】ハードでもなくソフトでもないTPU素材で柔軟性が高く、iPhoneの取り外しも簡単で、装着の際にiPhoneを傷つける心配もありません。透明感の高さにより、iphoneの美しさを現れます！落ちることでもたらす衝撃力を吸収できるから、壊されないケースである。 【対応機種】iPhone SE 第2世代 / iPhone 7 / iPhone 8のみ対応します。機種を間違いないようご注意下さい。ワイヤレス充電をサポートします。 【透明設計
jp_asin_4	【カメラレンズも守れる薄さ】本体の薄さを維持しつつ、カメラレンズもしっかり保護出来る高さで設計されています。両面とカメラレンズにフチを設置し、予期せぬキズから守ります。 【キレイに使ってもらう為の工夫】少しでもキレイな状態で使い始められるよう、背面の裏表に【Remove Protective Film】と記載された「キズ防止保護シート」を貼付しています。ご使用の際は剥がしてから装着してください。 【ユーザー目線で作り上げたハイブリッドケース】側面を&quot;TPU&quot;のソフトな素材で衝撃を吸収させ、背面は透明度が維持出来るハードな&quot;ポリカーボネート&quot;をハイブリッドしたこのケースは、ブランドの代名詞へと成長しました。
jp_asin_5	kalibriはスマートフォン、タブレット、またはその他のデバイス用にデザイン性の高いアクセサリーを販売しています。レザーや木製など素材にこだわり、保護力や機能性も考慮されています。特徴エコフレンドリー: 黄色の柔らかいTPUカバーは、部分的にナチュラルで環境に優しい麦わらから作られています。あなたのスマホを保護するだけでなく、環境にも良いものをチョイスしてください。細部にまで配慮: カメラレンズを傷から保護するために、レンズの周囲がわずかに高く設計されています。携帯を置いた時にカメラに衝撃や傷が付くのをかしこく防ぎます。ぴったり: 以下のデバイスに対応: Apple iPhone 11 Pro Max心地よい感触、確かなグリップ: 柔らかい素材から出来たシリコンケースの表面はあなたの手にフィットし、滑りにくいのが特徴です。耐久性に優れ、毎日の使用にも安心。製品保証: 万が一購入商品に不具合がありましたら、弊社カスタマーサービスまでご連絡ください。お問い合わせ内容に応じて代替品交換または返金が可能です。ご安心して購入ください。配送内容1x 保護ケース 対応: Apple iPhone 11 Pro Max
jp_asin_6	iPhone XS,iPhone Xs MAX, iPhone XR, iPhone X専用 デザインケース ケース四隅、内側の加工で衝撃に強く、耐久性に優れた、傷がつきにくい素材を採用しておりますから、大切なiPhoneを落とすことはもはや、心配しなくとも大丈夫です。 ディスプレイ、モニターの仕様によって実際の色とやや異なって見える場合があります。 製品の仕様、デザインは改良などのため事前予告なしに変更する場合があります。 長時間紫外線を当ても黄ばんできず、ケースの色が変わりにくいです。内側により、装着と取り外すことが簡単できます。
jp_asin_7	超高精度 専用のために作ら、ホルの高精度のカットアウトは、マイク、スピーカーなどすべてのボタンはぴったり合います。ボタン操作を正確に反応させ、スムーズな使用を実現します。  透明感 透明感の高さにより、ほぼそのままのGalaxy A7 (2016)本体の色を楽しめます。  カメラレンズ保護 ケースはカメラより高く、レンズの周りも保護して傷から防止することができます。  薄い 非常に軽くスリムなので重さを感じず、装着していることを忘れるでしょう。  特殊加工の防汚コーティングにより、指紋と汚れを防ぎ、滑らかな手触りを実現します。  ※TPUとは＝ゴムのように柔らかい素材で傷つきにくく、衝撃に強い素材のこと。
jp_asin_8	【定番ながらも、妥協のないソフトケースを追求】スマートフォンケースでは最も使用されるソフトな材質「TPU」を使用し、端末毎に最適なサイジングを施しています。 【対応機種】： Google Pixel 3a 　※他社製品の液晶保護フィルム、ガラスフィルムとの併用は干渉する可能性がある為、推奨致しておりません。※商品の色合いや仕様、商品パッケージは予告なく変更される場合があります。 【押しやすさにこだわった独自の製法】フィッティング性だけでなく、ボタン本来の押しやすさにこだわりました。独自の切り抜きを施す事で、本体の押しやすさを損なう事なく操作が可能です。
jp_asin_9	高品質な素材 バンパー部分は柔軟性があり衝撃を吸収するTPU素材。擦り傷や磨耗に強く、埃や異物を寄せ付けにくい仕上がりです。簡単な装着も脱着も可能です。 丈夫で弾力がありますし、まるで何もつけてないような感じです。Huawei P20 Pro本体のスリムさを損なわないで、手にしっかりフィットします。 各ホール部分は完璧に対応できる設計とされています。サイトボタンもびったり設計なので、敏感な操作感を続けます。 Huawei P20 Pro クリア TPU ケース 商品が届くまで 楽しみに待ってくださる お客様の元へ自信を持ってお届けしたい！！
