relation_0	belong_to_product_type
relation_1	belong_to_brand
relation_2	belong_to_browse
relation_3	has_child_browse
relation_4	browse_has_brand
relation_5	belong_to_manufacturer
relation_6	manufacturer_has_brand
relation_10	belong_to_material
relation_11	belong_to_material_type
relation_12	material_has_material_type
relation_13	belong_to_item_type_keyword
relation_14	pt_has_item_type_keyword
relation_15	browse_has_item_type_keyword
relation_16	brand_has_item_type_keyword
relation_19	belong_to_special_feature
relation_20	belong_to_style
relation_22	belong_to_binding
relation_23	belong_to_form_factor
relation_24	belong_to_compatible_phone_models
relation_30	co_buy
relation_31	co_view
